,Unique ID,feature_name,Honorees,City,County,State,Side,Symbol Type,Symbol Category,Sponsors,Year Dedicated,Year Removed,Tracking Status,Latitude,Longitude
1000,1446,Confederate Monument,No specific honoree,Monterey,Highland,VA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1918.0,,Live,38.412983,-79.582633
1001,1447,Westmoreland County Confederate Monument,No specific honoree,Montross,Westmoreland,VA,South,Monument,Courthouse Grounds,Ladies Memorial Association,1876.0,,Live,38.095300,-76.828267
1002,1323,Lee Highway,Robert E. Lee,Natural Bridge,Rockbridge,VA,South,Highway / Roadway,Roads,Uknown,,,Live,37.679684,-79.499034
1003,1293,Jeb Stuart Drive,"James Ewell Brown ""Jeb"" Stuart",Natural Bridge Station,Rockbridge,VA,South,Highway / Roadway,Roads,Uknown,,,Live,37.606933,-79.490713
1004,1292,Robert E. Lee Drive,Robert E. Lee,Natural Bridge Station,Rockbridge,VA,South,Highway / Roadway,Roads,Uknown,,,Live,37.608607,-79.490198
1005,1448,Confederate Monument,No specific honoree,New Castle,Craig,VA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1912.0,,Live,37.503583,-80.109500
1006,1389,Confederate Monument,No specific honoree,New Kent,New Kent,VA,South,Monument,Monument,Uknown,1934.0,,Live,37.517867,-76.978317
1007,1274,Confederate Street,No specific honoree,New Market,Shenandoah,VA,South,Highway / Roadway,Roads,Uknown,,,Live,38.643674,-78.673548
1008,1802,Confederate Monument,No specific honoree,Albertville,Marshall,AL,South,Monument,Courthouse Grounds,Sons of Confederate Veterans,1996.0,,Live,34.268061,-86.210379
1009,2154,Confederate Heroes Monument,No specific honoree,Alexander City,Tallapoosa,AL,South,Monument,Monument,United Daughters of the Confederacy,1923.0,,Live,32.922952,-85.977706
1010,44,Major John Pelham Monument,John Pelham,Anniston,Calhoun,AL,South,Monument,Monument,Dr. Clarence J. Owens,1905.0,,Live,33.659631,-85.826700
1011,75,Confederate Monument,No specific honoree,Ashville,St. Clair,AL,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1923.0,,Live,33.836704,-86.254769
1012,76,Confederate Soldier Monument,No specific honoree,Athens,Limestone,AL,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1909.0,,Live,34.803130,-86.971613
1013,2221,The Auburn Guards Review Monument,No specific honoree,Auburn,Lee,AL,South,Monument,Monument,United Daughters of the Confederacy,1914.0,,Live,32.610290,-85.480418
1014,1822,Baldwin County Seal,No specific honoree,Bay Minette,Baldwin,AL,South,Seal,Flags,Uknown,,,Live,30.548848,-87.717586
1015,93,City of Beauregard,Pierre Gustave Toutant-Beauregard,Beauregard,Lee,AL,South,City,County/Municipality,Uknown,,,Live,32.543419,-85.370948
1016,800,CSS Neuse Confederate Ironclad Gunboat Monument,No specific honoree,Kinston,Lenoir,NC,South,Monument,Monument,Uknown,,,Live,35.259650,-77.583067
1017,1124,Robert E Lee Road,Robert E. Lee,Houston,Harris,TX,South,Highway / Roadway,Roads,Uknown,,,Live,29.842395,-95.210998
1018,1125,Robert Lee Road,Robert E. Lee,Houston,Harris,TX,South,Highway / Roadway,Roads,Uknown,,,Live,29.809342,-95.372741
1019,1903,Spirit of The Confederacy,No specific honoree,Houston,Harris,TX,South,Monument,Monument,United Daughters of the Confederacy,1908.0,,Live,29.760267,-95.372600
1020,261,Jefferson Davis Road,Jefferson Davis,Greensboro,Greene,GA,South,Highway / Roadway,Roads,Uknown,,,Live,33.605826,-83.309019
1021,1895,Hamilton Confederate Monument,No specific honoree,Hamilton,Harris,GA,South,Monument,Monument,Uknown,1910.0,,Live,32.759510,-84.875800
1022,376,Confederate Monument,No specific honoree,Hartwell,Hart,GA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1908.0,,Live,34.352693,-82.932627
1023,377,Confederate Monument,No specific honoree,Hawkinsville,Pulaski,GA,South,Monument,Courthouse Grounds,United Daughters of the Confederacy,1908.0,,Live,32.283208,-83.469121
1024,336,Jefferson Davis Memorial,Jefferson Davis,Hazelhurst,Jeff Davis,GA,South,Monument,Monument,Sons of Confederate Veterans,,,Live,31.863534,-82.601201
1025,245,Jeff Davis County,Jefferson Davis,Hazlehurst,Jeff Davis,GA,South,County/Municipality,County/Municipality,Uknown,1905.0,,Live,31.862146,-82.599751
1026,411,Jeff Davis Elementary School,Jefferson Davis,Hazlehurst,Jeff Davis,GA,South,School,Schools,Uknown,,,Live,31.863472,-82.609615
