Title,City or Town,County or Parish,Street Address,Year Erected,Erected By,Link
First Battle of Manassas,Manassas,Prince William County,,1961,Virginia State Library,http://www.hmdb.org/m.asp?m=596
Henry House,Manassas,Prince William County,,1935,Conservation and Development Commission,http://www.hmdb.org/m.asp?m=600
First Battle of Manassas,Manassas,Prince William County,,1931,Conservation and Development Commission,http://www.hmdb.org/m.asp?m=602
Campaign of Second Manassas,Broad Run,Fauquier County,,1928,Conservation & Development Commission,http://www.hmdb.org/m.asp?m=607
The Grave of Our Dear Mother. Judith Henry,Manassas,Prince William County,,,,http://www.hmdb.org/m.asp?m=610
Burke s Station Raid,Fairfax,Fairfax County,,1937,Conservation & Development Commission,http://www.hmdb.org/m.asp?m=618
Bull Run Battlefields,Fairfax,Fairfax County,,1934,Conservation & Development Commission,http://www.hmdb.org/m.asp?m=619
Monument to John Q. Marr,Fairfax,Fairfax County,4010 Chain Bridge Rd,1904,Marr Camp. CW,http://www.hmdb.org/m.asp?m=620
Fairfax,Fairfax,Fairfax,,,Civil War Trails,http://www.hmdb.org/m.asp?m=626
Bailey s Crossroads,Falls Church,Fairfax County,,2000,Fairfax County History Commission,http://www.hmdb.org/m.asp?m=632
Cedar Creek,Strasburg,Shenandoah County,,,Virginia Civil War Trails,http://www.hmdb.org/m.asp?m=636
Delaplane,Delaplane,Fauquier County,,1981,The Piedmont Chapter of the United Daughters of the Confederacy,http://www.hmdb.org/m.asp?m=642
Death of 2d Lt. James Big Yankee Ames,Delaplane,Fauquier County,,2001,the Department of Historic Resources,http://www.hmdb.org/m.asp?m=643
Cedar Creek,Strasburg,Shenandoah County,,,Virginia Civil War Trails,http://www.hmdb.org/m.asp?m=644
Trenches On Hupp s Hill,Strasburg,Shenandoah County,,1927,Conservation & Development Commission,http://www.hmdb.org/m.asp?m=645
Cavalry Engagement,Harrisonburg,Rockingham County,,1927,the Conservation and Development Commission,http://www.hmdb.org/m.asp?m=649
Union Church,Mount Jackson,Shenandoah County,,,,http://www.hmdb.org/m.asp?m=651
